TITLE: Bill of Materials
DATE: 1/09/2015
DESIGN: twinkie
APN: 803-10114-04
REV: 0.00

S.No.,Qty,Ref Des,Manufacturer,Manufacturer PN,Description
1,1,C8,AVX,0201ZD103KAT2A,CAP-10NF-10V-X5R-10%-0201
2,3,C4-C6,TDK,C0603X5R1A104K030BC,CAP-100NF-10V-X5R-10%-0201
3,2,"C2,C3",TDK,C1005X5R1A475M050BC,CAP-4.7UF-10-X5R-20%-0402
4,2,"C1,C7",TDK,C0603X5R0J105M030BC,CAP-1UF-6.3V-X5R-20%-0201
5,2,"R7,R8",PANASONIC,ERJ1GEF1212C,RES-12.1K-1%-0.050W-0201
6,2,"R3,R4",PANASONIC,ERJ1GEF4751C,RES-4.75K-0.050W-0201
7,2,"R14,R16",PANASONIC,ERJ1GEF1000C,RES-100-0.050W-0201
8,2,"R13,R15",PANASONIC,ERJ1GEF2000C,RES-200-0.050W-0201
9,2,"R20,R27",PANASONIC,ERJ1GEF5760C,RES-576-1%-0.050W-0201
10,2,"R21,R28",PANASONIC,ERJ1GEF6040C,RES-604-1%-0.050W-0201
11,2,"R19,R26",PANASONIC,ERJ1GEF8060C,RES-806-1%-0.050W-0201
12,2,"R5,R6",PANASONIC,ERJ1GEF1001C,RES-1K-1%-0.050W-0201
13,2,"R24,R25",PANASONIC,ERJ1GEF2211C,RES-2.21K-1%-0.050W-0201
14,2,"R9,R10",PANASONIC,ERJ1GEF5111C,RES-5.11K-1%-0.050W-0201
15,2,"R11,R12",PANASONIC,ERJ1GEF3572C,RES-35.7K-1%-0.050W-0201
16,2,"R22,R23",PANASONIC,ERJ1GEF5112C,RES-51.1K-1%-0.050W-0201
17,2,"R17,R18",PANASONIC,ERJ1GEF3013C,RES-301K-1%-0.050W-0201
18,2,"R1,R2",CYNTEC,RL1632L4-R015-DN,Res-Sense-15mOhm-0.5%-1W-150ppm-RS1206_4P
19,2,"FB1,FB2",MURATA,BLM15AG601SN1D,IND-FERR-BEAD-600OHM@100MHZ-0402
20,2,"U1,U2",TI,INA231AIYFFR,"IC, High or Low-side Bidirectional Current/Power Monitor with 1.8V I2C, 0.4mm BGA12"
21,1,U4,ST MICRO,STM32F072CBY6,"IC, Microcontroller, ARM Cortex M0, 128k Flash, Low power, 2.0-3.6V, 3.3x3.1mm, WLCSP49"
22,1,U5,ANALOG,AD8606ACB,OpAmp-Rail-To-Rail-Dual-BW=10Mhz-VOS=300uV-DUAL_WLCSP8
23,1,U3,MICREL,MIC5504-3.3YMT,"IC, LDO, 300mA, VIN=-0.3-6V, VOUT=3.3V, VDO=160mV, Cout(min)=1uF, En, DFN4"
24,1,CN1,MOLEX,47642-0001,"CONN, USB, SINGLE, TYPE-MICRO-B, RECEP, MID-MOUNT, SMT"
25,1,J1,FOXCONN,UT00113-10006-4H,"CONN, USB3.0, SINGLE, TYPE-C, NEWARK/MUXED, PLUG, STRADDLE-MOUNT, SMT, SNIFFER PINOUT"
26,1,J2,FOXCONN,UT12123-1A5BA-7H,"CONN, USB3.0, SINGLE, TYPE-C, NEWARK/MUXED, RECEP, RA, dual-row, mid mount, SMT"
27,2,"DS1,DS2",ROHM,SMLP34RGB2W,"RGB common anode, top firing low profile"
28,3,Q1-Q3,NXP,PMDXB600UNE,Dual N-channel Trench MOSFET
29,1,D1,DIODES INC,BZT52C5V6LP-7,"Diode, zener, 250mW, 5.6V,0402"
30,1,Q4,TI,CSD13381F4,NMOS-12V-2.1A-225mOhm-0402
TOTAL,53, , , , 
